patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000082a|33052097772570|Animal, vegetable, miracle [sound recording] : [a year of food life]|09-06-2022|i1686991a|0.00|25|||0|b1402795a|15032757
p1000089a|33052012138394|Quantum mechanics demystified|08-30-2022|i2097684a|0.00|25|||0|b1585551a|15005764
p1000089a|33052014509121|The distance between us : a memoir|09-24-2022|i2225749a|0.00|25||1|0|b1763103a|15094031
p1000089a|33052014698809|Moonlighting on the Internet : make an extra $1000 per month in just 5-10 hours per week|09-19-2022|i2196889a|0.00|25|||0|b1725822a|15076984
p1000089a|33052014996922|The warded man|09-18-2022|i2270579a|0.00|25|||0|b1804561a|15072794
p1000089a|33052015388111|The disappearance of Winter's daughter|09-17-2022|i2317762a|0.00|25|||0|b1852777a|15070354
p1000089a|33052015429550|Serpentine|09-24-2022|i2304017a|0.00|25|||0|b1828604a|15094058
p1000089a|33052015453162|The reckoning|09-18-2022|i2323350a|0.00|25|||0|b1849606a|15072774
p1000089a|33052016067904|American Indian trickster tales|09-18-2022|i2338260a|0.00|25||1|0|b1894284a|15072752
p1000089a|33052016111371|Sucker punch|09-24-2022|i2379321a|0.00|25|||0|b1929046a|15094043
p1000089a|33052016155063|War of the wolf [large print] : a novel|09-24-2022|i2356435a|0.00|25|||0|b1908815a|15094038
p1000089a|33052016578488|Killing the mob : the fight against organized crime in America|09-11-2022|i2408569a|0.00|25|||0|b1967088a|15048585
p1000089a|33052016880108|Children of ruin|09-10-2022|i2339010a|0.00|25|||0|b1893940a|15046285
p1000100a|33052016817217|Strong|08-30-2022|i2448299a|0.00|25|||0|b2011904a|15005726
p1000110a|33052010606376|Tongues of serpents|09-19-2022|i1905188a|0.00|25|||0|b1469769a|15077093
p1000122a|33052016890859|The dragon republic|09-22-2022|i2342170a|0.00|25||3|0|b1896250a|15089170
p1000174a|33052012496966|Heart of gold|09-25-2022|i1999049a|0.00|25|||0|b1524064a|15096482
p1000205a|33052010967323|The undaunted garden : planting for weather-resilient beauty|09-01-2022|i1949977a|0.00|25|||0|b1495866a|15015060
p1000205a|33052012700706|The education of millionaires : it's not what you think and it's not too late|08-27-2022|i1986693a|0.00|25||1|0|b1508887a|14998487
p1000229a|33052016520837|A thousand ships : a novel|09-25-2022|i2398405a|0.00|25||1|0|b1949592a|15096476
p1000232a|33052011198159|The Brokenwood mysteries. Series 1 [DVD].|09-25-2022|i2170966a|0.00|24|||0|b1686419a|15222123
p1001888a|33052014495339|A life in parts|09-06-2022|i2224063a|0.00|25|||0|b1762121a|15032592
p1001969a|33052013629656|The lost key [large print]|09-15-2022|i2118732a|0.00|4|||0|b1631171a|15178314
p1001969a|33052099198733|Northern lights [sound recording]|09-15-2022|i1737488a|0.00|4|||3|b1321260a|14842330
p1002444a|33052016749857|Iced|09-22-2022|i2456702a|0.00|4||2|0|b2013469a|15202903
p1002572a|33052015605324|The great derangement  [sound recording] : [climate change and the unthinkable]|09-24-2022|i2371491a|0.00|25|||0|b1928085a|15032754
p1004052a|33052016611230|Honolulu|09-23-2022|i2350959a|0.00|4|||0|b1904509a|15206308
p1004188a|33052012803302|Martian summer : my ninety days with interplanetary pioneers, temperamental robots, and NASA's Phoenix Mars Mission|09-24-2022|i2133939a|0.00|4|||2|b1663904a|15078743
p1004188a|33052016436190|Water, wood, and wild things : learning craft and cultivation in a Japanese mountain town|09-24-2022|i2408871a|0.00|4|||2|b1974945a|15102641
p1004188a|33052099651749|Fresh air fiend : travel writings, 1985-2000|09-24-2022|i1805649a|0.00|4|||3|b1153625a|15005571
p1005033a|33052011358258|The father [DVD]|09-19-2022|i2409415a|0.00|3|||0|b1978418a|15236212
p1005124a|33052015423785|How do we look : the body, the divine, and the question of civilization|09-20-2022|i2307430a|0.00|4|||1|b1837996a|15139067
p1005145a|33052015071592|The poisonwood Bible|09-11-2022|i2237674a|0.00|4|||0|b1119505a|15165774
p1005147a|313930340093759arap|Lead yourself first : inspiring leadership through solitude / with a foreword by Jim Collins ; Raymond M. Kethledge and Michael S. Erwin.|09-04-2022|i4082037a|95.00|22|||0|b4082037a|15140099
p1005147a|R04031443449denv|The art of coaching : effective strategies for school transformation / Elena Aguilar|09-11-2022|i241466a|95.00|22|||0|b241466a|15166225
p1005765a|33052016426266|Steal|09-13-2022|i2436550a|0.00|18|||0|b1995745a|15215351
p1005912a|33052016874945|Cross my heart|09-12-2022|i2338252a|0.00|4|||1|b1878530a|15099559
p1006357a|33052096594223|Magic street|09-22-2022|i1687345a|0.00|4|||1|b1336416a|15126446
p1006956a|111001199438796150|The birchbark house / by Louise Erdrich with illustrations by the author.|09-12-2022|i13968415a|0.00|22|||1|b13968415a|15127081
p1006966a|33052015418033|The dream daughter|09-24-2022|i2311021a|0.00|4|||0|b1844053a|15207542
p1007001a|33052016745020|Honey and spice : a novel / Bolu Babalola.|09-25-2022|i2454914a|0.00|4||13|0|b2013465a|15212899
p1008073a|33052011060045|Tinker tailor soldier spy [DVD]|09-23-2022|i1990075a|0.00|3|||1|b1521127a|15230437
p1008073a|33052011162478|How we got to now [DVD] : [the history and power of great ideas]|09-23-2022|i2126294a|0.00|3|||1|b1635475a|15230441
p1008073a|33052013568219|Rogue lawyer|09-21-2022|i2174330a|0.00|4|||0|b1681040a|15198019
p1008073a|33052014106266|The salt of the earth [DVD]|09-23-2022|i2162467a|0.00|3|||1|b1688795a|15230443
p1008206a|313930406742389arap|The watchmakers : a story of brotherhood, survival, and hope amid the Holocaust / Harry Lenga & Scott Lenga.|09-15-2022|i4788435a|0.00|22|||0|b4788435a|15177948
