patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000018a|33052011117910|The love bug [DVD]|09-12-2022|i2075682a|0.00|24||1|0|b1413332a|15180919
p1000082a|33052097772570|Animal, vegetable, miracle [sound recording] : [a year of food life]|09-06-2022|i1686991a|0.00|25|||0|b1402795a|15032757
p1000089a|33052012138394|Quantum mechanics demystified|08-30-2022|i2097684a|0.00|25|||0|b1585551a|15005764
p1000089a|33052014698809|Moonlighting on the Internet : make an extra $1000 per month in just 5-10 hours per week|09-19-2022|i2196889a|0.00|25|||0|b1725822a|15076984
p1000089a|33052014996922|The warded man|09-18-2022|i2270579a|0.00|25|||0|b1804561a|15072794
p1000089a|33052015388111|The disappearance of Winter's daughter|09-17-2022|i2317762a|0.00|25|||0|b1852777a|15070354
p1000089a|33052015453162|The reckoning|09-18-2022|i2323350a|0.00|25|||0|b1849606a|15072774
p1000089a|33052016067904|American Indian trickster tales|09-18-2022|i2338260a|0.00|25||1|0|b1894284a|15072752
p1000089a|33052016578488|Killing the mob : the fight against organized crime in America|09-11-2022|i2408569a|0.00|25|||0|b1967088a|15048585
p1000089a|33052016880108|Children of ruin|09-10-2022|i2339010a|0.00|25|||0|b1893940a|15046285
p1000100a|33052016817217|Strong|08-30-2022|i2448299a|0.00|25|||0|b2011904a|15005726
p1000109a|33052014806329|The 5 love languages of children : the secret to loving children effectively|09-22-2022|i2219167a|0.00|25|||0|b1521716a|15089223
p1000110a|33052010606376|Tongues of serpents|09-19-2022|i1905188a|0.00|25|||0|b1469769a|15077093
p1000122a|33052016890859|The dragon republic|09-22-2022|i2342170a|0.00|25||2|0|b1896250a|15089170
p1000205a|33052010967323|The undaunted garden : planting for weather-resilient beauty|09-01-2022|i1949977a|0.00|25|||0|b1495866a|15015060
p1000205a|33052012700706|The education of millionaires : it's not what you think and it's not too late|08-27-2022|i1986693a|0.00|25||1|0|b1508887a|14998487
p1000216a|33052016120356|Memoirs and misinformation : a novel|08-24-2022|i2381699a|0.00|25|||0|b1927390a|14988987
p1000471a|33052015206917|American West [sound recording] : history, myth, and legacy|09-22-2022|i2317982a|0.00|4|||2|b1836267a|15061352
p1001888a|33052014495339|A life in parts|09-06-2022|i2224063a|0.00|25|||0|b1762121a|15032592
