patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000018a|33052011117910|The love bug [DVD]|09-12-2022|i2075682a|0.00|24||1|0|b1413332a|15180919
p1000082a|33052097772570|Animal, vegetable, miracle [sound recording] : [a year of food life]|09-06-2022|i1686991a|0.00|25|||0|b1402795a|15032757
p1000084a|33052015066014|Good morning, midnight : a novel|08-23-2022|i2237770a|0.00|25|||0|b1779008a|14984861
p1000089a|33052012138394|Quantum mechanics demystified|08-30-2022|i2097684a|0.00|25|||0|b1585551a|15005764
p1000089a|33052015388111|The disappearance of Winter's daughter|09-17-2022|i2317762a|0.00|25|||0|b1852777a|15070354
p1000089a|33052016578488|Killing the mob : the fight against organized crime in America|09-11-2022|i2408569a|0.00|25|||0|b1967088a|15048585
p1000089a|33052016880108|Children of ruin|09-10-2022|i2339010a|0.00|25|||0|b1893940a|15046285
p1000100a|33052016817217|Strong|08-30-2022|i2448299a|0.00|25|||0|b2011904a|15005726
p1000129a|33052015866561|Treasure planet|09-06-2022|i2249504a|0.00|24|||0|b1762619a|15157792
p1000132a|33052015793450|Awaking wonder : opening your child's heart to the beauty of learning|09-17-2022|i2395490a|0.00|25|||0|b1949697a|15070235
p1000205a|33052010967323|The undaunted garden : planting for weather-resilient beauty|09-01-2022|i1949977a|0.00|25|||0|b1495866a|15015060
p1000205a|33052012700706|The education of millionaires : it's not what you think and it's not too late|08-27-2022|i1986693a|0.00|25||1|0|b1508887a|14998487
p1000212a|33052013769023|Valor|09-17-2022|i2116407a|0.00|25||1|0|b1630186a|15070276
p1000216a|33052016120356|Memoirs and misinformation : a novel|08-24-2022|i2381699a|0.00|25|||0|b1927390a|14988987
p1000648a|33052016571657|Sensitive is the new strong : the power of empaths in an increasingly harsh world|09-05-2022|i2407259a|0.00|25||1|0|b1972083a|15028454
p1001888a|33052014495339|A life in parts|09-06-2022|i2224063a|0.00|25|||0|b1762121a|15032592
p1001969a|33052013629656|The lost key [large print]|09-15-2022|i2118732a|0.00|4|||0|b1631171a|15178314
p1001969a|33052099198733|Northern lights [sound recording]|09-15-2022|i1737488a|0.00|4|||3|b1321260a|14842330
p1002020a|33052012438273|Five days at Memorial : life and death in a storm-ravaged hospital|09-14-2022|i2071652a|0.00|4||1|1|b1555620a|15126278
