title|last_update|item_no|patron_no|pickup_location|item_barcode|hold_id
The summer place : a novel|09-20-2022|i2451726a|p1002085a|1main|33052016732762|6401344
Cyclorama :  novel|09-20-2022|i2460833a|p1002085a|1main|33052016766877|6402418
Raising animals for fiber : producing wool from sheep, goats, alpacas, and rabbits in your backyard|09-22-2022|i2354595a|p1002307a|1main|33052015537469|6405058
Storey's guide to raising rabbits|09-22-2022|i2416347a|p1002307a|1main|33052016472963|6405092
The art of French pastry|09-22-2022|i2124425a|p1002307a|1main|33052013798360|6405103
Pastry school : 100 step-by-step recipes|09-22-2022|i2327876a|p1002307a|1main|33052015466347|6405101
Stay with me|09-23-2022|i2371881a|p1002606a|2hrmy|33052016234223|6407829
Turn to me|09-25-2022|i2448211a|p1002606a|2hrmy|33052016815310|6411254
Homeopathy for today's world : discovering your animal, mineral, or plant nature|09-23-2022|i1965319a|p1002606a|2hrmy|33052012343903|6406837
True biz : a novel|09-24-2022|i2443268a|p1003008a|2hrmy|33052016786230|6409321
Book lovers|09-22-2022|i2451760a|p1003108a|1main|33052016734644|6404476
The ink black heart|09-24-2022|i2463003a|p1003336a|2hrmy|33052016718324|6407925
A woman of no importance : the untold story of the American spy who helped win WWII|09-24-2022|i2332270a|p1003959a|3ct|33052016893648|6409717
Game on : tempting twenty-eight|09-26-2022|i2429586a|p1003959a|3ct|33052016396774|6412221
The bone field|09-26-2022|i2422253a|p1003959a|3ct|33052016941900|6410953
Neighbors [large print] : a novel|09-25-2022|i2402050a|p1003960a|3ct|33052016548192|6409675
This train|09-20-2022|i2448147a|p1004026a|2hrmy|33052016811194|6400962
Carrie Soto is back : a novel|09-21-2022|i2462859a|p1004089a|1main|33052016717797|6403231
Weaving made easy : 17 projects using a simple loom|09-26-2022|i1839383a|p1004257a|2hrmy|33052099796049|6410726
Small loom & freeform weaving : five ways to weave|09-25-2022|i1734582a|p1004257a|2hrmy|33052099043509|6410728
Hotel Portofino. Season one [DVD]|09-24-2022|i2455851a|p1004279a|2hrmy|33052011376953|6408486
Mika in real life : a novel|09-25-2022|i2458095a|p1004726a|3ct|33052016769814|6410935
Amy among the serial killers : a novel|09-24-2022|i2461312a|p1004726a|3ct|33052016681001|6408143
When food bites back : taking control of autoimmune disease / Elroy Vojdani.|09-23-2022|i11788033a|p1004928a|1main|330250401086479doug|6401693
The lost / Jeffrey B. Burton.|09-24-2022|i2455179a|p1005097a|1main|33052016746887|6408340
At home on an unruly planet : finding refuge on a changed Earth|09-25-2022|i2459256a|p1005125a|1main|33052016761100|6411478
Four treasures of the sky|09-19-2022|i2442402a|p1005145a|1main|33052016779383|6401308
All things wise and wonderful [sound recording]|09-23-2022|i1988469a|p1005196a|1main|33052012767754|6406197
The boys|09-20-2022|i2455446a|p1005313a|3ct|33052014633699|6401380
The secret history|09-25-2022|i2371394a|p1005335a|2hrmy|33052016214498|6410143
The lioness|09-21-2022|i2448121a|p1005335a|2hrmy|33052016811939|6402907
If I had two wings : stories|09-26-2022|i2387577a|p1005441a|2hrmy|33052016142103|6411341
How I killed Pluto and why it had it coming|09-24-2022|i1928298a|p1005477a|1main|33052010895946|6408084
You are the placebo : making your mind matter|09-25-2022|i2125596a|p1005690a|2hrmy|33052013800448|6410259
Breaking the habit of being yourself : how to lose your mind and create a new one|09-26-2022|i2350704a|p1005690a|2hrmy|33052016613020|6410248
Rogues : true stories of grifters, killers, rebels, and crooks / Patrick Radden Keefe.|09-24-2022|i2455125a|p1005773a|2hrmy|33052016744668|6409808
Drop dead gorgeous : a novel|09-20-2022|i2445064a|p1005929a|3ct|33052016798060|6402473
When an adult you love has ADHD : professional advice for parents, partners, and siblings|09-23-2022|i2275036a|p1005929a|3ct|33052097942488|6406933
From strength to strength : finding success, happiness, and deep purpose in the second half of life|09-24-2022|i2445270a|p1006327a|2hrmy|33052016793079|6356276
Abandoned in death|09-24-2022|i2436212a|p1006349a|2hrmy|33052016421556|6405449
Levitate [compact disc] / Bruce Hornsby and the Noisemakers.|09-24-2022|i243000a|p1006522a|3ct|R05058874869denv|6397297
After hours [videorecording] / the Geffen Company presents a Double Play production ; produced by Amy Robinson, Griffin Dunne and Robert F. Colesberry ; written by Joseph Minion ; directed by Martin Scorsese.|09-24-2022|i1325331a|p1006522a|3ct|332800040649449uccp|6398722
Non-secure connection / Bruce Hornsby.|09-24-2022|i242999a|p1006522a|3ct|R06057146669denv|6397286
Flicted / Bruce Hornsby.|09-21-2022|i4777428a|p1006522a|3ct|313930398191589arap|6397282
Ricky Skaggs & Bruce Hornsby [sound recording].|09-21-2022|i2055218a|p1006522a|3ct|312770143905199arrp|6397275
American rust [DVD]|09-25-2022|i2456300a|p1007124a|2hrmy|33052011377571|6410969
Put your ass (where your heart wants to be)|09-24-2022|i2460650a|p1007211a|bc|33052014636296|6395870
22 seconds|09-26-2022|i2446285a|p1007804a|1main|33052016803217|6411046
Breath : the new science of a lost art|09-26-2022|i2396706a|p1007980a|2hrmy|33052014358248|6411289
Daisy Jones & the Six : a novel|09-25-2022|i2422242a|p1008053a|2hrmy|33052016942742|6409294
Princess Academy : the forgotten sisters|09-22-2022|i2134109a|p1008184a|3ct|33052013826229|6406770
Therapeutic storytelling : 101 healing stories for children / Susan Perrow.|09-22-2022|i2518406a|p1008184a|3ct|334550208462239hpld|6396308
Esperanza rising|09-22-2022|i2457763a|p1008184a|3ct|33052018004814|6407407
Austenland : a novel|09-22-2022|i1677153a|p1008184a|3ct|33052097601126|6406771
Palace of stone|09-22-2022|i2018757a|p1008184a|3ct|33052013881653|6406769
The nomination : a novel of suspense|09-20-2022|i1938322a|p1008206a|3ct|33052012021905|6401021
Sparring partners|09-25-2022|i2450593a|p1008261a|1main|33052016729164|6409408
Lakes : their birth, life, and death|09-19-2022|i2455232a|p1008312a|1main|33052016742142|6400007
