title|last_update|item_no|patron_no|pickup_location|item_barcode|hold_id
Mrs. Harris goes to Paris ; & Mrs. Harris goes to New York|09-16-2022|i2455437a|p1000170a|3430a|33052014633962|6325493
Brain wash : detox your mind for clearer thinking, deeper relationships, and lasting happiness|09-15-2022|i2358856a|p1000429a|2hrmy|33052016163950|6395005
Eat to beat disease [large print] : the new science of how the body can heal itself|09-17-2022|i2327233a|p1000429a|2hrmy|33052015462718|6394997
Eat to beat Alzheimer's : delicious recipes and new research to prevent and slow dementia|09-16-2022|i2216270a|p1000429a|2hrmy|33052014799128|6394998
Where the old west stayed young : the remarkable history of Brown's Park told for the first time, together with an account of the...Range-cattlebusiness in...Colorado and...Wyoming... / by John Rolfe Burroughs.|09-15-2022|i5851808a|p1000471a|1main|12400013797139mssp|6383654
Portable Projector  |09-12-2022|i2415246a|p1001423a|1main|33052016245948|6390456
The wok : recipes and techniques|09-12-2022|i2438830a|p1001423a|1main|33052016435507|6390252
Moon. Wanderlust road trips : 40 beautiful drives around the world / [director of collection and author, Philippe Gloaguen ; managing editor, Hannah Brezack].|09-16-2022|i242821a|p1001767a|1main|3436600010145492100|6389697
Where the crawdads sing / Delia Owens.|09-16-2022|i3229660a|p1001767a|1main|334550296294229hpld|6340968
I guess I haven't learned that yet : discovering new ways of living when the old ways stop working|09-16-2022|i2443251a|p1002563a|2hrmy|33052016785158|6394912
Upgrade : a novel|09-17-2022|i2461827a|p1002769a|2hrmy|33052016677397|6397123
The Buddha in the attic|09-17-2022|i1971340a|p1002906a|1main|33052012226439|6396934
Looking for Alaska|09-16-2022|i2419226a|p1003008a|2hrmy|33052016957450|6396054
The enneagram guide to waking up : find your path, face your shadow, discover your true self|09-17-2022|i2426169a|p1003176a|1main|33052016916407|6397611
The 6:20 man|09-16-2022|i2461724a|p1003278a|2hrmy|33052016687552|6394937
When women were dragons : a novel|09-12-2022|i2445157a|p1003307a|3ct|33052016797278|6388778
Upgrade [large print] : a novel|09-15-2022|i2456697a|p1003307a|3ct|33052016752976|6393767
Daisy Darker|09-17-2022|i2462425a|p1003504a|1main|33052016682355|6397095
Life makeover : embrace the bold, beautiful, and blessed you|09-13-2022|i2443726a|p1003622a|3ct|33052016788731|6390012
The emotional life of your brain : how its unique patterns affect the way you think, feel, and live-- and how you can change them|09-13-2022|i1994535a|p1003622a|3ct|33052012485001|6390982
Memory rescue : supercharge your brain, reverse memory loss, and remember what matters most|09-13-2022|i2272776a|p1003622a|3ct|33052015098546|6390984
10 mindful minutes : giving our children-and ourselves-the social and emotional skills to reduce stress and anxiety for healthier, happier lives|09-15-2022|i1971197a|p1003622a|3ct|33052012225894|6390989
Indelible|09-15-2022|i2278971a|p1003624a|2hrmy|33052015115126|6394432
Making space, clutter free : the last book on decluttering you'll ever need|09-16-2022|i2342380a|p1003701a|1main|33052016891139|6394374
Reckoning : an FBI thriller|09-16-2022|i2458312a|p1003959a|3ct|33052016771554|6396075
Overkill [large print]|09-16-2022|i2460748a|p1003959a|3ct|33052016766703|6397721
Summer's edge|09-13-2022|i2450670a|p1004026a|2hrmy|33052016728455|6388498
You made a fool of death with your beauty : a novel|09-13-2022|i2450190a|p1004726a|3ct|33052016728703|6391389
