title|last_update|item_no|patron_no|pickup_location
Deadwood|09-09-2022|i1660979a|p1000471a|1main
The Larkins|09-10-2022|i2445517a|p1002384a|2hrmy
The family chao|09-07-2022|i2437874a|p1002386a|3ct
Rock paper scissors|09-08-2022|i2420850a|p1002386a|3ct
Open season|09-07-2022|i2097633a|p1002444a|3ct
F9|09-07-2022|i2423520a|p1002547a|3ct
In the company of others|09-11-2022|i1919977a|p1002549a|2hrmy
The library at the edge of the world|09-07-2022|i2288124a|p1002563a|2hrmy
Fellowship Point|09-10-2022|i2461290a|p1002563a|2hrmy
The elegance of the hedgehog|09-06-2022|i2400439a|p1002563a|2hrmy
Zero to 60|09-08-2022|i2412345a|p1002707a|2hrmy
The happy camper|09-09-2022|i2368622a|p1002768a|2hrmy
A deadly education|09-09-2022|i2386007a|p1002769a|2hrmy
This time tomorrow|09-11-2022|i2454467a|p1003278a|2hrmy
Cut to the bone|09-09-2022|i2377442a|p1003504a|1main
The lost village|09-09-2022|i2404501a|p1003504a|1main
Girl, forgotten|09-11-2022|i2460337a|p1003504a|1main
The lies I tell|09-09-2022|i2458399a|p1003504a|1main
The talent code|09-09-2022|i1947622a|p1003622a|3ct
Zen and the art of saving the planet|09-07-2022|i2429060a|p1003736a|3ct
A dark and stormy tea|09-10-2022|i2461465a|p1003959a|3ct
Friend of the devil|09-11-2022|i2455106a|p1004026a|2hrmy
A holly jolly Diwali|09-11-2022|i2425441a|p1004026a|2hrmy
The it girl|09-10-2022|i2456610a|p1004026a|2hrmy
Crystal reiki|09-09-2022|i2415388a|p1004136a|2hrmy
Spencer|09-11-2022|i2437807a|p1005033a|1main
The father|09-11-2022|i2409415a|p1005033a|1main
Christopher Hobbs's medicinal mushrooms|09-10-2022|i2422715a|p1005125a|1main
Missing, presumed|09-08-2022|i2216636a|p1005145a|1main
Emergent curriculum in early childhood settings|09-07-2022|i1759065a|p1005147a|3ct
My policeman|09-11-2022|i2417491a|p1005147a|3ct
Lessons from Lucy|09-09-2022|i2394731a|p1005335a|2hrmy
The house across the lake|09-08-2022|i2459114a|p1005335a|2hrmy
The book of delights|09-07-2022|i2327496a|p1005335a|2hrmy
The golden tresses of the dead|09-07-2022|i2323686a|p1005335a|2hrmy
The marriage portrait|09-10-2022|i2461748a|p1005335a|2hrmy
Time to use the potty|09-07-2022|i2433443a|p1005745a|1main
The book of lost friends|09-07-2022|i2371233a|p1006327a|2hrmy
Deer Creek Drive|09-07-2022|i2459095a|p1006349a|2hrmy
Everything everywhere all at once|09-11-2022|i2454225a|p1006522a|3ct
Licorice pizza|09-07-2022|i2447168a|p1007124a|2hrmy
Dog|09-04-2022|i2447143a|p1007124a|2hrmy
How the world really works|09-06-2022|i2450339a|p1007267a|1main
The burglar|09-03-2022|i2321454a|p1007348a|1main
The copper gauntlet|09-06-2022|i2208234a|p1007379a|1main
The bronze key|09-06-2022|i2218358a|p1007379a|1main
A place in the world|09-10-2022|i2460323a|p1007444a|1main
Hidden Valley Road|09-07-2022|i2372911a|p1007852a|2hrmy
World of wonders|09-10-2022|i2383468a|p1007881a|1main
Malibu rising|09-06-2022|i2416418a|p1008053a|2hrmy
The collected stories of Eudora Welty|09-11-2022|i1849671a|p1008073a|1main
Merci Suárez changes gears|09-09-2022|i2307843a|p1008184a|3ct
The land of stories|09-09-2022|i2385218a|p1008184a|3ct
The Fairy-tale detectives|09-10-2022|i2074402a|p1008184a|3ct
Savvy|09-10-2022|i2161815a|p1008184a|3ct
Our little world|09-07-2022|i2452243a|p1008206a|3ct
Little faith|09-07-2022|i2329410a|p1008206a|3ct
The love of my life|09-06-2022|i2445409a|p1008206a|3ct
Flying snakes & griffin claws|09-08-2022|i2458092a|p1008312a|1main
The everything Irish history & heritage book|09-09-2022|i1755233a|p1008312a|1main
Fault tolerance|09-09-2022|i2458492a|p1008312a|1main
The month-by-month gardening guide|09-09-2022|i2455280a|p1008312a|1main
Shadowlands|09-09-2022|i2457365a|p1008312a|1main
Local gone missing|09-11-2022|i2460312a|p1008393a|2hrmy
Notes on an execution|09-09-2022|i2435949a|p1008564a|3ct
The match|09-07-2022|i2439640a|p1008564a|3ct
The it girl|09-07-2022|i2456613a|p1008564a|3ct
Unmasked|09-08-2022|i2445840a|p1008854a|3ct
America's first daughter|09-10-2022|i2356631a|p1008926a|3ct
Killer style|09-06-2022|i2330227a|p1008934a|1main
Love your enemies|09-10-2022|i2327577a|p1008944a|2hrmy
When we cease to understand the world|09-07-2022|i2429168a|p1009001a|1main
Before she knew him|09-08-2022|i2332188a|p1009136a|1main
What waits for you|09-08-2022|i2404603a|p1009136a|1main
People like her|09-08-2022|i2405271a|p1009136a|1main
The benefit of hindsight|09-08-2022|i2371634a|p1009136a|1main
Dead to her|09-08-2022|i2362784a|p1009136a|1main
Horrorstör|09-10-2022|i2116327a|p1009281a|2hrmy
All of this|09-10-2022|i2459783a|p1009292a|2hrmy
The hive|09-03-2022|i2336301a|p1009675a|1main
I was better last night|09-10-2022|i2439166a|p1010038a|3ct
Any other family|09-10-2022|i2461810a|p1010430a|1main
A man named Doll|09-10-2022|i2407910a|p1010430a|1main
Book lovers|09-09-2022|i2450011a|p1011096a|1main
This here flesh|09-11-2022|i2441417a|p1011225a|1main
Hell and back|09-10-2022|i2461591a|p1011462a|1main
The 620 man|09-10-2022|i2461723a|p1011617a|3ct
The naturalist|09-11-2022|i2401236a|p1011759a|4staf
Hellburner|09-10-2022|i2461526a|p1011780a|1main
The Paris apartment|09-10-2022|i2447652a|p1011780a|1main
Palace walk|09-04-2022|i2126898a|p1012826a|3ct
Dead-end memories|09-10-2022|i2461299a|p1012826a|3ct
Doctor Strange in the multiverse of madness|09-10-2022|i2456312a|p1014641a|3ct
Here's to us|09-11-2022|i2433577a|p1015468a|3ct
The fault in our stars|09-11-2022|i2104209a|p1015555a|2hrmy
Since you've been gone|09-09-2022|i2351239a|p1015555a|2hrmy
On the rooftop|09-10-2022|i2461482a|p1015999a|3ct
The hacienda|09-11-2022|i2454407a|p1016041a|2hrmy
Hamnet|09-08-2022|i2398571a|p1016346a|2hrmy
Charlie Hernández & the castle of bones|09-06-2022|i2353206a|p1016436a|1main
The Great|09-08-2022|i2445485a|p1016827a|2hrmy
Seeds of hope|09-11-2022|i1786314a|p1017369a|1main
Fly away|09-10-2022|i2407691a|p1017370a|1main
These precious days|09-10-2022|i2438089a|p1017596a|2hrmy
Love + work|09-10-2022|i2450158a|p1017624a|2hrmy
The long and faraway gone|09-11-2022|i2133387a|p1017798a|1main
The Emerald Mile|09-09-2022|i2411336a|p1017941a|3ct
The lost ticket|09-09-2022|i2461035a|p1018028a|1main
Unicorn Day|09-09-2022|i2446837a|p1018068a|2hrmy
Kevin the unicorn|09-09-2022|i2446953a|p1018068a|2hrmy
The unicorn's missing colors|09-10-2022|i2376649a|p1018068a|2hrmy
Doc|09-09-2022|i2339360a|p1018196a|1main
Sea change|09-09-2022|i1606451a|p1018196a|1main
Shetland|09-09-2022|i2191745a|p1018196a|1main
The huntress|09-09-2022|i2324913a|p1018325a|1main
The one hundred years of Lenni and Margot|09-10-2022|i2460109a|p1018826a|1main
Network effect|09-08-2022|i2372958a|p1019778a|1main
Cannelle et Vanille|09-11-2022|i2373225a|p1019881a|1main
Prairie day|09-06-2022|i2435238a|p1019974a|3ct
Oh William!|09-11-2022|i2427615a|p1020124a|1main
The paper menagerie and other stories|09-10-2022|i2428641a|p1020414a|3ct
Upstream|09-03-2022|i2228914a|p1020454a|3ct
Bewilderment|09-10-2022|i2422117a|p1020454a|3ct
The sewing girl's tale|09-10-2022|i2457361a|p1021974a|2hrmy
Made in China|09-10-2022|i2417713a|p1021974a|2hrmy
Death on the Nile|09-09-2022|i2442120a|p1021974a|2hrmy
No more police|09-10-2022|i2461193a|p1022513a|1main
Your daily veg|09-09-2022|i2460822a|p1022513a|1main
The locked room|09-10-2022|i2461127a|p1023230a|2hrmy
