title|last_update|item_no|patron_no|pickup_location|item_barcode|hold_id
Deadwood. The complete third season [DVD]|09-09-2022|i1660979a|p1000471a|1main|33052097491759|6384011
Portable Projector  |09-12-2022|i2415246a|p1001423a|1main|33052016245948|6390456
The wok : recipes and techniques|09-12-2022|i2438830a|p1001423a|1main|33052016435507|6390252
Open season|09-07-2022|i2097633a|p1002444a|3ct|33052012137438|6382131
In the company of others : a Father Tim novel|09-11-2022|i1919977a|p1002549a|2hrmy|33052010783829|6386784
Ray Donovan. Season seven|09-13-2022|i4563187a|p1002549a|2hrmy|313930380003059arap|6376224
All that really matters|09-12-2022|i2405402a|p1002606a|2hrmy|33052016560452|6388903
Wild life : dispatches from a childhood of baboons and button-downs|09-12-2022|i2352871a|p1002606a|2hrmy|33052016618789|6389630
Let it be me|09-12-2022|i2409643a|p1002606a|2hrmy|33052016440192|6388896
Before I called you mine|09-12-2022|i2372403a|p1002606a|2hrmy|33052016235469|6388900
Zero to 60 : a teen's guide to manage frustration, anger, and everyday irritations|09-08-2022|i2412345a|p1002707a|2hrmy|33052016451587|6381937
Closer to the chest|09-12-2022|i2223011a|p1003217a|2hrmy|33052014494043|6387143
When women were dragons : a novel|09-12-2022|i2445157a|p1003307a|3ct|33052016797278|6388778
Wolfskin / Juliet Marillier.|09-10-2022|i1841215a|p1003378a|1main|312770124432379arrp|6373138
Girl, forgotten : a novel|09-11-2022|i2460337a|p1003504a|1main|33052016761373|6387182
The lies I tell : a novel / Julie Clark.|09-09-2022|i2458399a|p1003504a|1main|33052016758783|6383567
The lost village|09-09-2022|i2404501a|p1003504a|1main|33052016561989|6381992
Just like home|09-12-2022|i2457333a|p1003504a|1main|33052016755938|6390236
Cut to the bone|09-09-2022|i2377442a|p1003504a|1main|33052016100929|6381993
Life makeover : embrace the bold, beautiful, and blessed you|09-13-2022|i2443726a|p1003622a|3ct|33052016788731|6390012
The talent code : greatness isn't born : it's grown, here's how|09-09-2022|i1947622a|p1003622a|3ct|33052012046944|6382990
Zen and the art of saving the planet|09-07-2022|i2429060a|p1003736a|3ct|33052016393110|6379790
Summer's edge|09-13-2022|i2450670a|p1004026a|2hrmy|33052016728455|6388498
Crystal reiki : a handbook for healing mind, body, and soul|09-09-2022|i2415388a|p1004136a|2hrmy|33052016467526|6382575
The ever-present origin / Jean Gebser ; authorized translation by Noel Barstad with Algis Mickunas|09-11-2022|i1943173a|p1004224a|3ct|U1860021805479dupp|6376086
The bodyguard|09-12-2022|i2460387a|p1004726a|3ct|33052016766364|6388172
You made a fool of death with your beauty : a novel|09-13-2022|i2450190a|p1004726a|3ct|33052016728703|6391389
The latecomer|09-12-2022|i2455671a|p1004726a|3ct|33052016749204|6388533
