patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000089a|33052014509121|The distance between us : a memoir|09-24-2022|i2225749a|0.00|25||1|0|b1763103a|15094031
p1000089a|33052015429550|Serpentine|09-24-2022|i2304017a|0.00|25|||0|b1828604a|15094058
p1000089a|33052016111371|Sucker punch|09-24-2022|i2379321a|0.00|25|||0|b1929046a|15094043
p1000089a|33052016155063|War of the wolf [large print] : a novel|09-24-2022|i2356435a|0.00|25|||0|b1908815a|15094038
p1000205a|33052014983128|Sleeping beauties : a novel|09-24-2022|i2266478a|0.00|25|||0|b1788430a|15094107
p1002384a|33052015855531|Doctor Who. The ninth and tenth Doctors TV series. [DVD]: binge watch set.|09-23-2022|i2395594a|0.00|67||1|1|b1962415a|15000168
p1002572a|33052015605324|The great derangement  [sound recording] : [climate change and the unthinkable]|09-24-2022|i2371491a|0.00|25|||0|b1928085a|15032754
p1004052a|33052016611230|Honolulu|09-23-2022|i2350959a|0.00|4|||0|b1904509a|15206308
p1004188a|33052012803302|Martian summer : my ninety days with interplanetary pioneers, temperamental robots, and NASA's Phoenix Mars Mission|09-24-2022|i2133939a|0.00|4|||2|b1663904a|15078743
p1004188a|33052016436190|Water, wood, and wild things : learning craft and cultivation in a Japanese mountain town|09-24-2022|i2408871a|0.00|4|||2|b1974945a|15102641
p1004188a|33052099651749|Fresh air fiend : travel writings, 1985-2000|09-24-2022|i1805649a|0.00|4|||3|b1153625a|15005571
p1004726a|33052016740328|This time tomorrow|09-24-2022|i2454465a|0.00|4||53|0|b2005483a|15209948
p1005301a|33052013581386|The quiet gentleman|09-23-2022|i2135336a|0.00|4|||1|b1667859a|15137745
p1005301a|33052016595896|The highlander and the governess|09-23-2022|i2350766a|0.00|4|||1|b1904864a|15137744
p1006206a|33052011259340|Julieta|09-24-2022|i2247324a|0.00|3|||0|b1788558a|15256331
p1006966a|33052015418033|The dream daughter|09-24-2022|i2311021a|0.00|4|||0|b1844053a|15207542
p1008073a|33052011060045|Tinker tailor soldier spy [DVD]|09-23-2022|i1990075a|0.00|3|||1|b1521127a|15230437
p1008073a|33052011162478|How we got to now [DVD] : [the history and power of great ideas]|09-23-2022|i2126294a|0.00|3|||1|b1635475a|15230441
p1008073a|33052014106266|The salt of the earth [DVD]|09-23-2022|i2162467a|0.00|3|||1|b1688795a|15230443
p1008206a|33052012786580|Every last tie : the story of the Unabomber and his family|09-23-2022|i2191952a|0.00|4|||0|b1713047a|15205085
p1008206a|33052016778500|Ancestor trouble : a reckoning and a reconciliation|09-23-2022|i2440905a|0.00|4||2|0|b2002132a|15205086
