patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000089a|33052014698809|Moonlighting on the Internet : make an extra $1000 per month in just 5-10 hours per week|09-19-2022|i2196889a|0.00|25|||0|b1725822a|15076984
p1000089a|33052014996922|The warded man|09-18-2022|i2270579a|0.00|25|||0|b1804561a|15072794
p1000089a|33052015388111|The disappearance of Winter's daughter|09-17-2022|i2317762a|0.00|25|||0|b1852777a|15070354
p1000089a|33052015453162|The reckoning|09-18-2022|i2323350a|0.00|25|||0|b1849606a|15072774
p1000089a|33052016067904|American Indian trickster tales|09-18-2022|i2338260a|0.00|25||1|0|b1894284a|15072752
p1000110a|33052010606376|Tongues of serpents|09-19-2022|i1905188a|0.00|25|||0|b1469769a|15077093
p1000132a|33052015793450|Awaking wonder : opening your child's heart to the beauty of learning|09-17-2022|i2395490a|0.00|25|||0|b1949697a|15070235
p1000212a|33052013769023|Valor|09-17-2022|i2116407a|0.00|25||1|0|b1630186a|15070276
p1001204a|33052011154418|Hocus pocus [DVD]|09-17-2022|i2118188a|0.00|50|||0|b1322532a|15231369
p1001204a|33052011328954|Descendants 3|09-17-2022|i2348509a|0.00|50|||0|b1904304a|15231371
p1001767a|33052012180909|Fifty places to bike before you die : experts share the world's greatest destinations|09-18-2022|i2051447a|0.00|4|||0|b1550388a|15190042
p1001767a|33052015249412|Lonely Planet New Zealand's North Island (Te Ika-a-Māui)|09-18-2022|i2365002a|0.00|4|||0|b1923494a|15190043
p1001767a|33052015458484|Walks of a lifetime : extraordinary hikes from around the world|09-18-2022|i2324511a|0.00|4|||0|b1882177a|15190044
p1001767a|33052016186910|Lonely Planet's wonders of the world : 101 great sights and how to see them on any budget|09-18-2022|i2361632a|0.00|4||2|0|b1920200a|15190045
p1002360a|330600092043769lmnt|Mel Bay's basic dulcimer solos / [arranged] by Mara Washburn.|09-18-2022|i3207475a|0.00|22|||2|b3207475a|15123983
p1002360a|330600113435929lmnt|20 Irish tunes and songs for mountain dulcimer, DAD tuning / [collected] by Madeline MacNeil.|09-18-2022|i4393486a|0.00|22|||2|b4393486a|15123984
p1002360a|R04025617899mdel|Dulcimer : DAD tuning / by Joyce Ochs.|09-18-2022|i1873423a|0.00|22|||2|b1873423a|15123985
p1002550a|33052016181739|Westwind|09-18-2022|i2368908a|0.00|4|||0|b1925999a|15187653
p1002769a|33052011361781|In the Heights [DVD]|09-19-2022|i2419953a|0.00|18||1|0|b1990016a|15237320
p1002769a|33052011362508|Black Widow [DVD]|09-19-2022|i2420956a|0.00|18|||0|b1990477a|15237321
p1002769a|33052011365063|Stillwater [DVD]|09-19-2022|i2428210a|0.00|18||1|0|b1997061a|15237317
p1002769a|33052011366392|Shang-Chi and the Legend of the Ten Rings [DVD]|09-19-2022|i2431160a|0.00|18|||0|b1998985a|15237318
p1002769a|33052011367432|No time to die [DVD]|09-19-2022|i2433145a|0.00|18||2|0|b1999659a|15237322
p1002769a|33052011370063|Marvel's Eternals [DVD] / Marvel Studios presents ; produced by Kevin Feige, Nate Moore ; screen story by Ryan Firpo & Kaz Firpo ; screenplay by Chloé Zhao and Patrick Burleigh and Ryan Firpo & Kaz Firpo ; directed by Chloé Zhao.|09-19-2022|i2437789a|0.00|18||1|0|b2005856a|15237319
p1003378a|R04062621599denv|The resilient investor : a plan for your life, not just your money / Hal Brill, Michael Kramer, Christopher Peck ; with Jim Cummings.|09-16-2022|i241741a|0.00|22|||0|b241741a|15183584
p1003504a|33052016747596|The hidden one|09-19-2022|i2455487a|0.00|4||11|0|b1999879a|15191981
p1003504a|33052016752323|The murder book|09-19-2022|i2456505a|0.00|4|||0|b2009505a|15191983
p1003504a|33052016760730|The family remains : a novel|09-19-2022|i2458973a|0.00|4||28|0|b2012067a|15191982
p1003504a|33052016768923|Horse|09-19-2022|i2458044a|0.00|4||71|0|b2007794a|15191984
p1003504a|33052016809362|The murder rule : a novel|09-19-2022|i2448481a|0.00|4|||0|b2010998a|15191985
p1003648a|399480010969789mgrp|The satanic verses : a novel / Salman Rushdie.|09-16-2022|i3211112a|0.00|22|||0|b3211112a|15182801
p1003885a|33052012578516|Lipsmackin' car campin' : easy and delicious recipes for campground cooking|09-19-2022|i2055589a|0.00|4|||0|b1547195a|15192482
p1003885a|33052015896246|Boho braids : 40 modern, free-spirited hairstyles|09-19-2022|i2246471a|0.00|4|||0|b1785649a|15192481
p1004219a|33052015491584|Summertime|09-16-2022|i2334949a|0.00|53|||0|b1888456a|15181703
p1004219a|33052015562905|Mealtime|09-16-2022|i2358499a|0.00|53|||0|b1909471a|15181702
p1004481a|33052015634597|Sink or swim|09-18-2022|i2279436a|0.00|53|||0|b1812330a|15188032
p1004830a|33052012405546|Spanish (Latin American) [sound recording] : The short course.|09-18-2022|i1968337a|0.00|4|||1|b1257667a|15119071
p1004830a|33052015470927|The longevity paradox [large print] : how to die young at a ripe old age|09-18-2022|i2328920a|0.00|4|||1|b1885809a|15119069
p1004830a|33052016949267|How not to die : discover the foods scientifically proven to prevent and reverse disease|09-18-2022|i2421934a|0.00|4||1|1|b1700946a|15119070
p1004893a|33052010233783|101 Dalmatians [DVD]|09-16-2022|i1895332a|0.00|50|||0|b1405768a|15227241
p1004893a|33052011139823|The nut job [DVD]|09-16-2022|i2098787a|0.00|50|||0|b1617562a|15227240
p1004893a|33052011309111|Peter Pan [DVD]|09-16-2022|i2319692a|0.00|50|||0|b1859349a|15227242
p1004893a|33052011337120|Pixar short films collection [DVD] Volume 3|09-16-2022|i2362605a|0.00|50|||0|b1922535a|15227243
p1004935a|33052016786396|In a garden burning gold|09-17-2022|i2443276a|0.00|4|||0|b2005813a|15186287
p1004935a|33052016935746|Winter of the world|09-17-2022|i2423034a|0.00|4|||1|b1990348a|15115666
p1005033a|33052011358258|The father [DVD]|09-19-2022|i2409415a|0.00|3|||0|b1978418a|15236212
p1005033a|33052012513000|Black & white (and a bit in between) : timeless interiors, dramatic accents, and stylish collections|09-16-2022|i2004788a|0.00|4|||0|b1524820a|15181186
p1005033a|330600111996309lmnt|Farm from home : a year of stories, pictures, and recipes from a city girl in the country / Amanda Brooks ; with photographs by the author.|09-19-2022|i4346453a|0.00|22|||0|b4346453a|15190326
p1005054a|22144899619jcpp|Incontrol. [dvd]|09-19-2022|i5934620a|0.00|21|||0|b5934620a|15238099
p1005054a|22162578539jcpp|Crimes of the future / Neon presents with Serendipity Point Films, Telefilm Canada, Ingenious Media ; a Canada-Hellenic Republic co-production ; produced in association with Argonauts Productions S.A., Crave, CBC Films, ERT, Rocket Science ; a Robert Lant|09-19-2022|i7051659a|0.00|21|||0|b7051659a|15238100
p1005097a|33052016746838|Hatchet Island / Paul Doiron.|09-19-2022|i2455190a|0.00|4||2|0|b2007793a|15191126
p1005289a|33052016158281|The Hanged Man|09-19-2022|i2357640a|0.00|4||1|0|b1848990a|15192321
p1005384a|33052013614930|Greenglass House|09-19-2022|i2125104a|0.00|53|||0|b1618161a|15192055
p1005384a|33052015434030|Look alive twenty-five|09-16-2022|i2317559a|0.00|4|||2|b1836320a|15032756
p1005384a|33052016450324|Green glass ghosts|09-19-2022|i2412415a|0.00|53|||0|b1977764a|15192054
p1005619a|33052016799936|The Baxters : a prequel|09-18-2022|i2445676a|0.00|18|||0|b1999858a|15233379
p1005708a|33052012701464|A letter of Mary : a Mary Russell novel|09-17-2022|i1986963a|0.00|4|||0|b1418471a|15186213
p1005708a|33052012778066|Murder in G major|09-17-2022|i2226197a|0.00|4|||0|b1763207a|15186212
p1005745a|33052013750759|Everyone poops|09-17-2022|i2098302a|0.00|53|||0|b1476219a|15184961
p1006302a|33052011369982|All creatures great & small. Season 2 [DVD]|09-17-2022|i2437776a|0.00|11||9|0|b1999538a|15186328
p1006413a|11483525149jcpp|The theory that would not die : how Bayes' rule cracked the enigma code, hunted down Russian submarines, & emerged triumphant from two centuries of controversy / Sharon Bertsch McGrayne.|09-17-2022|i4302817a|0.00|22|||0|b4302817a|15183995
p1006522a|22152702539jcpp|Superbad [videorecording] / Columbia Pictures presents an Apatow Company production ; produced by Judd Apatow, Shauna Robertson ; written by Seth Rogen & Evan Goldberg ; directed by Greg Mottola.|09-17-2022|i6379111a|0.00|21|||0|b6379111a|15229287
p1006522a|313930141408289arap|Crosby, Stills & Nash. Long time comin' [videorecording]  / produced by Malcolm Leo ; written and directed by Malcolm Leo.|09-17-2022|i2071140a|0.00|21|||0|b2071140a|15229288
p1006755a|33052095427086|Gallows thief|09-16-2022|i1437861a|0.00|4|||0|b1267689a|15181590
p1006956a|33052011283407|Flicka [DVD]|09-18-2022|i2285480a|0.00|50||1|0|b1391522a|15235991
p1006956a|33052011377076|A father's fight [DVD]|09-18-2022|i2455857a|0.00|3|||0|b2023281a|15235990
p1007124a|33052011373414|Licorice pizza [DVD]|09-19-2022|i2447168a|0.00|3||1|0|b2014646a|15238904
p1007124a|33052011373711|Dog [DVD]|09-19-2022|i2447143a|0.00|3|||0|b2014644a|15238905
p1007266a|33052015473111|Mayo Clinic guide to raising a healthy child  : ages 3 -11|09-18-2022|i2330108a|0.00|4|||2|b1882789a|15054917
p1007444a|33052016107254|See no stranger : a memoir and manifesto of revolutionary love|09-19-2022|i2378369a|0.00|4|||0|b1935443a|15193564
p1007464a|334550214019119hpld|Pursuit [text (large print)] / Gene Hackman.|09-18-2022|i1768359a|0.00|22|||0|b1768359a|15189393
p1007683a|33052013913100|The mad sculptor : the maniac, the model, and the murder that shook the nation|09-18-2022|i2099912a|0.00|4|||1|b1610729a|15133215
p1008073a|33052011060045|Tinker tailor soldier spy [DVD]|09-17-2022|i1990075a|0.00|3|||0|b1521127a|15230437
p1008073a|33052011162478|How we got to now [DVD] : [the history and power of great ideas]|09-17-2022|i2126294a|0.00|3|||0|b1635475a|15230441
p1008073a|33052011248699|The dressmaker|09-19-2022|i2231683a|0.00|3|||0|b1776594a|15237447
p1008073a|33052011314632|Ben is back [DVD]|09-19-2022|i2324799a|0.00|3|||0|b1883298a|15237445
p1008073a|33052011355122|Des [DVD]|09-19-2022|i2403250a|0.00|3|||0|b1967934a|15237444
p1008073a|33052014106266|The salt of the earth [DVD]|09-17-2022|i2162467a|0.00|3|||0|b1688795a|15230443
p1008170a|33052015123245|Dirty genes : a breakthrough program to treat the root cause of illness and optimize your health|09-19-2022|i2282074a|0.00|4|||0|b1806765a|15190268
p1008259a|33052010558973|The death and life of the great American school system : how testing and choice are undermining education|09-17-2022|i1892458a|29.98|4|||4|b1470214a|14907511
p1008259a|33052013811221|Women in clothes|09-17-2022|i2129268a|29.98|4|||4|b1630483a|14907539
p1008259a|33052014440665|What I told my daughter : lessons from leaders on raising the next generation of empowered women|09-17-2022|i2206475a|29.98|4|||4|b1743922a|14907510
p1008259a|33052014467411|Self made : becoming empowered, self-reliant, and rich in every way|09-17-2022|i2216457a|29.98|4|||4|b1755424a|14907509
p1008259a|33052014476784|All American girl|09-17-2022|i2218964a|29.98|53|||4|b1465857a|14907520
p1008259a|33052015745526|Architectural digest.|09-17-2022|i2369862a|29.98|4|||4|b1143245a|14907536
p1008259a|33052015830419|Architectural digest.|09-17-2022|i2380054a|29.98|4|||4|b1143245a|14907535
