patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000089a|33052014996922|The warded man|09-18-2022|i2270579a|0.00|25|||0|b1804561a|15072794
p1000089a|33052015388111|The disappearance of Winter's daughter|09-17-2022|i2317762a|0.00|25|||0|b1852777a|15070354
p1000089a|33052015453162|The reckoning|09-18-2022|i2323350a|0.00|25|||0|b1849606a|15072774
p1000089a|33052016067904|American Indian trickster tales|09-18-2022|i2338260a|0.00|25||1|0|b1894284a|15072752
p1000132a|33052015793450|Awaking wonder : opening your child's heart to the beauty of learning|09-17-2022|i2395490a|0.00|25|||0|b1949697a|15070235
p1000212a|33052013769023|Valor|09-17-2022|i2116407a|0.00|25||1|0|b1630186a|15070276
p1001767a|33052012180909|Fifty places to bike before you die : experts share the world's greatest destinations|09-18-2022|i2051447a|0.00|4|||0|b1550388a|15190042
p1001767a|33052015249412|Lonely Planet New Zealand's North Island (Te Ika-a-Māui)|09-18-2022|i2365002a|0.00|4|||0|b1923494a|15190043
p1001767a|33052015458484|Walks of a lifetime : extraordinary hikes from around the world|09-18-2022|i2324511a|0.00|4|||0|b1882177a|15190044
p1001767a|33052016186910|Lonely Planet's wonders of the world : 101 great sights and how to see them on any budget|09-18-2022|i2361632a|0.00|4||1|0|b1920200a|15190045
p1002360a|330600092043769lmnt|Mel Bay's basic dulcimer solos / [arranged] by Mara Washburn.|09-18-2022|i3207475a|0.00|22|||2|b3207475a|15123983
p1002360a|330600113435929lmnt|20 Irish tunes and songs for mountain dulcimer, DAD tuning / [collected] by Madeline MacNeil.|09-18-2022|i4393486a|0.00|22|||2|b4393486a|15123984
p1002360a|R04025617899mdel|Dulcimer : DAD tuning / by Joyce Ochs.|09-18-2022|i1873423a|0.00|22|||2|b1873423a|15123985
p1004481a|33052015634597|Sink or swim|09-18-2022|i2279436a|0.00|53|||0|b1812330a|15188032
p1004830a|33052012405546|Spanish (Latin American) [sound recording] : The short course.|09-18-2022|i1968337a|0.00|4|||1|b1257667a|15119071
p1004830a|33052015470927|The longevity paradox [large print] : how to die young at a ripe old age|09-18-2022|i2328920a|0.00|4|||1|b1885809a|15119069
p1004830a|33052016949267|How not to die : discover the foods scientifically proven to prevent and reverse disease|09-18-2022|i2421934a|0.00|4||1|1|b1700946a|15119070
p1004935a|33052016786396|In a garden burning gold|09-17-2022|i2443276a|0.00|4|||0|b2005813a|15186287
p1004935a|33052016935746|Winter of the world|09-17-2022|i2423034a|0.00|4|||1|b1990348a|15115666
p1005708a|33052012701464|A letter of Mary : a Mary Russell novel|09-17-2022|i1986963a|0.00|4|||0|b1418471a|15186213
p1005708a|33052012778066|Murder in G major|09-17-2022|i2226197a|0.00|4|||0|b1763207a|15186212
p1005745a|33052013750759|Everyone poops|09-17-2022|i2098302a|0.00|53|||0|b1476219a|15184961
p1006302a|33052011369982|All creatures great & small. Season 2 [DVD]|09-17-2022|i2437776a|0.00|11||8|0|b1999538a|15186328
p1006522a|22152702539jcpp|Superbad [videorecording] / Columbia Pictures presents an Apatow Company production ; produced by Judd Apatow, Shauna Robertson ; written by Seth Rogen & Evan Goldberg ; directed by Greg Mottola.|09-17-2022|i6379111a|0.00|21|||0|b6379111a|15229287
p1006522a|313930141408289arap|Crosby, Stills & Nash. Long time comin' [videorecording]  / produced by Malcolm Leo ; written and directed by Malcolm Leo.|09-17-2022|i2071140a|0.00|21|||0|b2071140a|15229288
p1006956a|33052011283407|Flicka [DVD]|09-18-2022|i2285480a|0.00|50||1|0|b1391522a|15235991
p1006956a|33052011377076|A father's fight [DVD]|09-18-2022|i2455857a|0.00|3|||0|b2023281a|15235990
p1007266a|33052015473111|Mayo Clinic guide to raising a healthy child  : ages 3 -11|09-18-2022|i2330108a|0.00|4|||2|b1882789a|15054917
p1007464a|334550214019119hpld|Pursuit [text (large print)] / Gene Hackman.|09-18-2022|i1768359a|0.00|22|||0|b1768359a|15189393
p1007683a|33052013913100|The mad sculptor : the maniac, the model, and the murder that shook the nation|09-18-2022|i2099912a|0.00|4|||1|b1610729a|15133215
p1008259a|33052010558973|The death and life of the great American school system : how testing and choice are undermining education|09-17-2022|i1892458a|29.98|4|||4|b1470214a|14907511
p1008259a|33052013811221|Women in clothes|09-17-2022|i2129268a|29.98|4|||4|b1630483a|14907539
p1008259a|33052014440665|What I told my daughter : lessons from leaders on raising the next generation of empowered women|09-17-2022|i2206475a|29.98|4|||4|b1743922a|14907510
p1008259a|33052014467411|Self made : becoming empowered, self-reliant, and rich in every way|09-17-2022|i2216457a|29.98|4|||4|b1755424a|14907509
p1008259a|33052014476784|All American girl|09-17-2022|i2218964a|29.98|53|||4|b1465857a|14907520
p1008259a|33052015745526|Architectural digest.|09-17-2022|i2369862a|29.98|4|||4|b1143245a|14907536
p1008259a|33052015830419|Architectural digest.|09-17-2022|i2380054a|29.98|4|||4|b1143245a|14907535
p1008259a|33052015831086|Good housekeeping.|09-17-2022|i2380855a|29.98|4|||4|b1209793a|14907529
p1008259a|33052016114995|4 year colleges.|09-17-2022|i2381066a|29.98|4|||4|b1294223a|14907540
p1008259a|33052016215321|Clique bait|09-17-2022|i2371963a|29.98|53|||4|b1922605a|14907516
p1008259a|33052016256358|Architectural digest.|09-17-2022|i2399668a|29.98|4|||4|b1143245a|14907537
p1008259a|33052016256945|Good housekeeping.|09-17-2022|i2400507a|29.98|4|||4|b1209793a|14907526
p1008259a|33052016259576|Cook's illustrated.|09-17-2022|i2403547a|29.98|4|||4|b1209859a|14907523
p1008259a|33052016276745|Architectural digest.|09-17-2022|i2409897a|29.98|4|||4|b1143245a|14907532
p1008259a|33052016279277|Good housekeeping.|09-17-2022|i2413174a|29.98|4|||4|b1209793a|14907530
p1008259a|33052016303176|Good housekeeping.|09-17-2022|i2417865a|29.98|4|||4|b1209793a|14907528
p1008259a|33052016801443|Family of liars|09-17-2022|i2446213a|29.98|53|||4|b2008718a|14907519
p1008259a|33052016822209|Good housekeeping.|09-17-2022|i2437921a|29.98|4|||4|b1209793a|14907525
p1008259a|33052016827778|Good housekeeping.|09-17-2022|i2444242a|29.98|4|||4|b1209793a|14907527
p1008259a|33052016827968|Architectural digest.|09-17-2022|i2444304a|29.98|4|||4|b1143245a|14907533
