patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000089a|33052015388111|The disappearance of Winter's daughter|09-17-2022|i2317762a|0.00|25|||0|b1852777a|15070354
p1000132a|33052015793450|Awaking wonder : opening your child's heart to the beauty of learning|09-17-2022|i2395490a|0.00|25|||0|b1949697a|15070235
p1000212a|33052013769023|Valor|09-17-2022|i2116407a|0.00|25||1|0|b1630186a|15070276
p1000476a|33052097949053|Lost in math : how beauty leads physics astray|09-15-2022|i2308845a|0.00|25|||0|b1846886a|15064712
p1001204a|33052011154418|Hocus pocus [DVD]|09-17-2022|i2118188a|0.00|50|||0|b1322532a|15231369
p1001204a|33052011328954|Descendants 3|09-17-2022|i2348509a|0.00|50|||0|b1904304a|15231371
p1001767a|33052016970198|North Island New Zealand [DVD] : land of volcanoes|09-14-2022|i2419994a|0.00|3|||0|b1989989a|15221249
p1001969a|33052013236742|Bombshell [large print] : an FBI thriller|09-15-2022|i2060220a|0.00|4|||0|b1554904a|15178313
p1001969a|33052013629656|The lost key [large print]|09-15-2022|i2118732a|0.00|4|||0|b1631171a|15178314
p1001969a|33052099198733|Northern lights [sound recording]|09-15-2022|i1737488a|0.00|4|||3|b1321260a|14842330
p1001981a|33052016747646|Acts of violet|09-16-2022|i2455508a|0.00|4|||0|b2009701a|15182501
p1002020a|33052012438273|Five days at Memorial : life and death in a storm-ravaged hospital|09-14-2022|i2071652a|0.00|4||1|1|b1555620a|15126278
p1002027a|33052012765840|The Bourne trilogy [Blu-ray].|09-15-2022|i1987253a|0.00|11|||0|b1519099a|15180096
p1002384a|33052011365857|Emily in Paris. Season one [DVD]|09-15-2022|i2429462a|0.00|11|||0|b1997737a|15180501
p1002384a|33052012496743|Small space decorating|09-15-2022|i1999026a|0.00|4|||5|b1524188a|14878885
p1002384a|33052013470465|How I became a pirate|09-15-2022|i2025682a|0.00|53|||2|b1296193a|15076187
p1002384a|33052015855820|Doctor Who The eleventh Doctor TV series. [DVD] : binge watch set.|09-15-2022|i2395593a|0.00|11|||0|b1962414a|15180502
p1002384a|33052016588057|Summer on Moonlight Bay|09-15-2022|i2344152a|0.00|4|||2|b1899482a|15076186
p1002472a|33052097148250|You're only old once!|09-14-2022|i1638826a|0.00|25||1|0|b1188245a|15060701
p1002549a|33052011153212|Edge of tomorrow [DVD] : Live, die, repeat |09-14-2022|i2116624a|0.00|3|||0|b1630722a|15219278
p1002549a|33052092987900|Tupac [videorecording] : resurrection|09-17-2022|i1832420a|0.00|3|||0|b1450024a|15231248
p1002549a|R06050574629denv|Mad men. Season 2 [videorecording] / Lions Gate Television Inc. ; created by Matthew Weiner.|09-17-2022|i242404a|0.00|21|||0|b242404a|15231249
p1002606a|33052010199588|Winnie the pooh, a very merry Pooh year [DVD]|09-15-2022|i1858798a|0.00|50|||1|b1434972a|15206485
p1003176a|33052016415087|The story of you : an Enneagram journey to becoming your true self|09-14-2022|i2433441a|0.00|4||1|1|b1994532a|15101740
p1003378a|R04036302069mdel|Financial intimacy : how to create a healthy relationship with your money and your mate / Jacquette M. Timmons.|09-16-2022|i2266810a|0.00|22|||0|b2266810a|15183583
p1003378a|R04062621599denv|The resilient investor : a plan for your life, not just your money / Hal Brill, Michael Kramer, Christopher Peck ; with Jim Cummings.|09-16-2022|i241741a|0.00|22|||0|b241741a|15183584
p1003568a|33052012486900|The pioneer woman cooks : food from my frontier|09-14-2022|i1994665a|0.00|4|||0|b1522114a|15174968
p1003568a|33052013500022|The pioneer woman cooks dinnertime: comfort classics, freezer food, 16-minute meals, and other delicious ways to solve supper|09-14-2022|i2180297a|0.00|4|||0|b1698089a|15174969
p1003648a|399480010969789mgrp|The satanic verses : a novel / Salman Rushdie.|09-16-2022|i3211112a|0.00|22|||0|b3211112a|15182801
p1004219a|33052015491584|Summertime|09-16-2022|i2334949a|0.00|53|||0|b1888456a|15181703
p1004219a|33052015562905|Mealtime|09-16-2022|i2358499a|0.00|53|||0|b1909471a|15181702
