patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000111a|33052013931326|Graduation day|09-27-2022|i2107235a|0.00|25|||0|b1620095a|15104897
p1000114a|33052013574860|Wake of vultures|09-27-2022|i2175244a|0.00|25|||0|b1694940a|15104871
p1000205a|33052016500482|This will make it taste good : a new path to simple cooking|09-26-2022|i2391347a|0.00|25|||0|b1949842a|15101560
p1002141a|33052013509395|Another country|09-27-2022|i2184438a|0.00|4|||0|b1217389a|15215847
p1002342a|33052012945616|Coming up roses [sound recording]|09-26-2022|i2005438a|0.00|4|||4|b1522334a|14936802
p1002342a|33052014038964|Garden of lies|09-26-2022|i2145527a|0.00|4|||4|b1670022a|14936806
p1002342a|33052014169694|Magic|09-26-2022|i2210405a|0.00|4|||4|b1737617a|14936804
p1002342a|33052014795613|Silver thaw [sound recording] : [a Mystic Creek novel]|09-26-2022|i2215105a|0.00|4|||4|b1755444a|14936801
p1002342a|33052015328935|The rescue|09-26-2022|i2270705a|0.00|4|||4|b1805319a|14936805
p1002342a|33052015770912|Royal [sound recording] : [a novel]|09-26-2022|i2379692a|0.00|4|||4|b1933040a|14936803
p1002384a|33052011377944|Uncharted [DVD]|09-26-2022|i2459199a|0.00|3||15|0|b2014645a|15262562
p1002444a|33052016591440|Where the crawdads sing [large print]|09-27-2022|i2346206a|0.00|4||10|0|b1900386a|15216706
p1002769a|33052011370873|The matrix [DVD] : resurrections|09-26-2022|i2440811a|0.00|18||1|0|b2010854a|15262553
p1003378a|33052010871061|The mists of Avalon. Book 1, Mistress of magic [sound recording]|09-27-2022|i2296311a|0.00|4|||0|b1831572a|15215814
p1003701a|33052015563275|The prepper's guide to foraging : how wild plants can supplement a sustainable lifestyle|09-27-2022|i2358833a|0.00|4|||4|b1919174a|14815659
p1003701a|33052097952222|A history of Judaism|09-27-2022|i2322438a|0.00|4|||4|b1816102a|14815654
p1004279a|33052016919815|The reading list : a novel|09-27-2022|i2427384a|0.00|4||5|0|b1979718a|15216129
p1004726a|33052016568992|Eat better, feel better : my recipes for wellness and healing, inside and out|09-27-2022|i2406485a|0.00|4|||0|b1965718a|15215584
p1004726a|33052016950968|The weekday vegetarians : [100 recipes and a real-life plan for eating less meat]|09-27-2022|i2420402a|0.00|4||1|0|b1980266a|15215582
p1005033a|22159014779jcpp|Love Sarah [videorecording] / Miraj Films and Rainstar Productions present a coproduction with Neopol Film ; director, Eliza Schroeder ; writer, Jake Brunger.|09-26-2022|i6752096a|0.00|21|||0|b6752096a|15260955
p1005097a|33052016675466|The lioness [sound recording] : a novel|09-27-2022|i2448864a|0.00|4||2|0|b2010762a|15213263
p1005145a|33052016765028|Remarkably bright creatures : a novel|09-27-2022|i2460468a|0.00|4||46|0|b2008939a|15215929
p1005460a|33052013211968|Noise cancelling headphones|09-26-2022|i2228746a|0.00|65|||0|b1767854a|15262457
